chant_type,mode,incipit,page
offertorium,3,Sperent in te,286
offertorium,1,Stetit angelus,610
offertorium,1,Super flumina,345
offertorium,4,Terra tremuit,199
offertorium,2,Tollite portas,40
offertorium,4,Tui sunt caeli,49
offertorium,2,Veritas mea,483
offertorium,2,Vir erat,349
offertorium,1,Viri Galilaei,237
communio,4,Ab occultis meis,113
communio,4,Acceptabis,309
communio,5,Adversum me,154
communio,6,Alleluia (ter),195
communio,1,Amen dico vobis : Quidquid,368
communio,4,Amen dico vobis : Quod uni,79
communio,1,Amen dico vobis : Quod vos,436
communio,2,Auferame,353
communio,1,Beata viscera,423
communio,6,Beatam me dicent,592
communio,1,Beati mundo corde,514
communio,3,Beatus servus,491
communio,4,Benedicimus Deum,376
communio,3,"Benedicite, omnes angeli",610
communio,2,Cantabo Domino,283
communio,2,Cantate Domino,222
communio,8,Christus resurgens,207
communio,6,Circuibo,297
communio,8,Comedite pinguia,268
communio,1,Confundantur superbi,529
communio,2,Cum invocarem te,80
communio,1,Data est mihi,213
communio,6,De fructu,329
communio,8,Dicit Andreas,263
communio,6,Dicit Dominus : Implete hydrias,263
communio,7,Dicite : Pusillanimes,23
communio,8,Dico autem vobis,470
communio,5,Dico vobis : Gaudium,387
communio,6,Diffusa est gratia,423
communio,4,Dilexisti iustitiam,506
communio,2,"Domine, Deus meus",87
communio,2,"Domine, Dominus noster",357
communio,8,"Domine, memorabor",332
communio,7,"Domine, quinque talenta",515
communio,6,"Domine, quis habitabit",102
communio,1,Dominus dabit benignitatem,17
communio,2,Dominus firmamentum meum,290
communio,2,Dominus regit mne,365
communio,3,Dominus virtutum,108
communio,5,Domus mea,402
communio,8,Dum venerit Paraclitus,233
communio,6,Ecce Dominus veniet,26
communio,1,Ecce virgo,37
communio,8,Ego clamavi,287
communio,2,Ego sum pastor bonus,224
communio,8,Ego sum vitis vera,228
communio,1,Ego vos elegi,436
communio,4,Erubescant et conturbentur,85
communio,7,Erubescant et revereantur,152
communio,1,Et si coram hominibus,470
communio,2,Exiit sermno,637
communio,4,"Exsulta, filia Sion",47
communio,6,Exsultavit ut gigas,28
communio,7,Factus est repente,256
communio,4,Feci iudicium,529
