chant_type,mode,incipit,page
communio,7,Notas mihi fecisti (sine alle- luia),260
communio,7,Notas mihi fecisti (cum alle- luia),362
communio,2,Omnes qui in Christo bapti- zati estis,61
communio,8,Oportet te,95
communio,8,Optimam partem,507
communio,5,Pacem meam,228
communio,5,Panem de ca:lo,319
communio,1,Panis quem ego dedero,322
communio,6,Pascha nostrum,199
communio,1,Passer invenit,306
communio,4,"Pater, cum essem",243
communio,8,"Pater, si non potest",149
communio,4,Per signum crucis,600
communio,1,Petite (sine alleluia),83
communio,1,Petite (cum alleluia),314
communio,7,Populus acquisitionis,210
communio,1,Posuerunt,471
communio,6,Posuisti,483
communio,2,Potum meum,157
communio,8,Primum qua:rite,325
communio,1,Principes,530
communio,1,Psallite Domino,238
communio,3,Qui biberit aquam,99
communio,7,Qui biberit aquam ( altera melodia),99
communio,6,Qui manducat,383
communio,3,Qui meditabitur,67
communio,5,Qui mihi ministrat,484
communio,1,Qui vult venire,484
communio,1,Quicumque fecerit,515
communio,5,Quinque prudentes virgines,507
communio,5,Quis dabit,101
communio,4,Quod dico vobis,472
communio,7,"Redime me, Deus",128
communio,8,Responsum,544
communio,1,Revelabitur,40
communio,3,Scapulis suis,77
communio,6,Sedebit Dominus,391
communio,4,Semel iuravi,492
communio,5,Servite Domino,68
communio,4,Si ambulavero,867
communio,7,Si consurrexistis,205
communio,7,Signa,437
communio,8,Simile est regnum ca:lorum,519
communio,6,Simon Joannis,574
communio,8,Spiritus qui a Patre procedit,233
communio,8,Spiritus Sanctus docebit vos,232
communio,8,Spiritus ubi vult spirat,218
communio,6,Surrexit Dominus,202
communio,4,Tanto tempore. s6o,
communio,7,Tolle puerum,51
communio,4,Tollite hostias,338
communio,3,"Tu, Domine, servabis",95
communio,6,"Tu es Petrus ·550,577",
communio,5,Tu mandasti,342
communio,2,"Tu, puer",572
communio,5,Ultimo festivitatis,
communio,7,Unam petii,
communio,7,"Unus militum Veni, Domine",
communio,8,Venite post me,
communio,1,Videns Dominus,
communio,8,Video ca:los apertos,
communio,1,Viderunt omnes,50
communio,4,Vidimus stellam,59
communio,1,Visionem,90
communio,6,Voce mea,71
communio,1,Vos qui secuti estis me,438
communio,2,Vos qui secuti estis me ... di­ cit Dominus,
communio,2,Vovete,
communio,7,Vox in Rama,
antiphona,6,Adorna,540
antiphona,6,Alleluia (ter),195
antiphona,8,Aperite mihi portas iustitire,698
antiphona,4,Apud Dominum,678
antiphona,7,Asperges me I,707
antiphona,7,Asperges me II (tonus sim- plex),707
antiphona,4,Asperges me III,708
antiphona,2,Audivi vocem de crelo,689
antiphona,7,Care mea,702
antiphona,8,Chorus angelorum,697
antiphona,4,Credo videre bona Domini,704
antiphona,4,Crucem tuam . I,75
antiphona,8,Delicta iuventutis mere,701
antiphona,5,"Domine, tu mihi lavas pedes",165
antiphona,2,Dominus Iesus,165
antiphona,3,Ecce Dominus noster,539
antiphona,6,Ecce lignum crucis,174
antiphona,2,Ego sum resurrectio,697
antiphona,4,Iesu nostra redemptio,
antiphona,1,Exsultabunt Domino,688
antiphona,4,Habitabit,680
antiphona,1,Hrec porta Domini,699
antiphona,7,Hosanna filio David,137
antiphona,1,Immutemur habitu,65
antiphona,7,In hoc cognoscent ornnes,166
antiphona,8,In pace in idipsum,703
antiphona,7,In paradisum,697
antiphona,4,Iuxta vestibulum,65
antiphona,8,Lumen ad revelationem gen- tium,540
antiphona,3,Mandatum novum,167
antiphona,7,Maneant in vobis,167
antiphona,8,Memento mei,679
antiphona,8,Obtulerunt,849
antiphona,3,Placebo Domino,686
antiphona,4,Postquam surrexit,164
antiphona,1,Pueri ... portantes,138
